Id,Country_Region,Date,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Latitude,Longtitude,Mean_Age,Lockdown_Date,Lockdown_Type,Country_Code,cluster,ConfirmedCases,Fatalities,Fatalities_rate,diff_FC_LD,diff_FF_LD,Weight_C,Weight_F,daily_tested,pf_score,hf_score
110,Afghanistan,2020-05-10,37172386,14000,2020-03-23,2020-02-25,33.93911,67.709953,17.3,2020-03-24,Full,AFG,31,4402.0,120.0,2.7260336210813265,28 days 00:00:00.000000000,1 days 00:00:00.000000000,0.05835873743558676,0.5835873743558676,104.0,6.97,6.835
224,Albania,2020-05-10,2866376,5340000,2020-03-12,2020-03-10,41.153332,20.168331,36.2,2020-03-08,Full,ALB,11,868.0,31.0,3.5714285714285716,-2 days +00:00:00.000000000,-4 days +00:00:00.000000000,0.06722512200670826,0.6722512200670826,269.0,8.01,7.84
338,Algeria,2020-05-10,42228429,2657000,2020-03-13,2020-02-26,28.033886,1.6596259999999998,27.5,2020-03-24,Full,DZA,45,5723.0,502.0,8.771623274506378,27 days 00:00:00.000000000,11 days 00:00:00.000000000,0.05709606979233571,0.5709606979233571,104.0,5.2,4.99
452,Andorra,2020-05-10,77006,3042000,2020-03-23,2020-03-03,42.546245,1.6015540000000001,37.0,2020-03-16,Full,AND,42,755.0,48.0,6.357615894039735,13 days 00:00:00.000000000,-7 days +00:00:00.000000000,0.08877323594663196,0.8877323594663196,104.0,6.97,6.835
566,Angola,2020-05-10,30809762,218000,2020-03-30,2020-03-21,-11.202691999999999,17.873887,16.4,,,AGO,23,45.0,2.0,4.444444444444445,,,0.05858739711150272,0.5858739711150273,104.0,5.98,5.4
680,Antigua and Barbuda,2020-05-10,96286,269000,2020-04-08,2020-03-14,17.060816,-61.79642800000001,30.7,,,ATG,27,25.0,3.0,12.0,,,0.08798527211953226,0.8798527211953225,104.0,6.97,6.835
794,Argentina,2020-05-10,44494502,6942000,2020-03-09,2020-03-04,-38.416097,-63.616671999999994,30.8,2020-03-20,Full,ARG,7,6034.0,305.0,5.0546900894928735,16 days 00:00:00.000000000,11 days 00:00:00.000000000,0.05684936006308796,0.5684936006308797,4494.0,8.04,6.86
908,Armenia,2020-05-10,2951776,1652000,2020-03-27,2020-03-02,40.069099,45.038189,33.9,2020-03-24,Full,ARM,17,3313.0,45.0,1.3582855418050106,22 days 00:00:00.000000000,-3 days +00:00:00.000000000,0.06705894014387091,0.6705894014387092,1193.0,7.15,7.42
1022,Australia,2020-05-10,24982688,9246000,2020-03-02,2020-01-26,-25.274398,133.775136,37.4,2020-03-25,Partial,AUS,37,6948.0,97.0,1.3960852043753598,59 days 00:00:00.000000000,23 days 00:00:00.000000000,0.07713751979435057,0.7713751979435057,38206.0,9.16,8.62
1934,Austria,2020-05-10,8840521,30816000,2020-03-13,2020-02-26,47.516231,14.550072,43.2,2020-03-16,Full,AUT,49,15871.0,618.0,3.8938945246046246,19 days 00:00:00.000000000,3 days 00:00:00.000000000,0.06257113618681992,0.6257113618681992,19923.0,9.25,8.48
2048,Azerbaijan,2020-05-10,9939800,2633000,2020-03-14,2020-03-02,40.143105,47.57692700000001,30.3,2020-03-02,Full,AZE,17,2519.0,32.0,1.2703453751488687,0 days 00:00:00.000000000,-12 days +00:00:00.000000000,0.062147406908023936,0.6214740690802394,13685.0,6.1,6.22
2162,Bahamas,2020-05-10,385640,14000,2020-04-02,2020-03-17,25.03428,-77.39628,32.5,2020-04-17,Full,BHS,27,92.0,11.0,11.956521739130435,31 days 00:00:00.000000000,15 days 00:00:00.000000000,0.07786489515052189,0.7786489515052188,104.0,7.87,7.56
2276,Bahrain,2020-05-10,1569439,12045000,2020-03-17,2020-02-25,25.93041400000001,50.637772,31.2,2020-02-25,Full,BHR,17,4941.0,8.0,0.16191054442420563,0 days 00:00:00.000000000,-21 days +00:00:00.000000000,0.07064403213334489,0.7064403213334488,8550.0,5.91,6.63
2390,Bangladesh,2020-05-10,161356039,14000,2020-03-19,2020-03-09,23.684994,90.35633100000001,25.6,2020-03-19,Full,BGD,31,14657.0,228.0,1.5555707170635191,10 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0529185727941594,0.529185727941594,7208.0,5.37,5.77
2504,Barbados,2020-05-10,286641,680000,2020-04-06,2020-03-18,13.193887,-59.543198,38.5,2020-03-28,Full,BRB,51,84.0,7.0,8.333333333333334,10 days 00:00:00.000000000,-9 days +00:00:00.000000000,0.07961626255679043,0.7961626255679043,161.0,6.97,6.835
2618,Belarus,2020-05-10,9483499,11501600,2020-04-01,2020-02-29,53.709807,27.953389,39.6,2020-04-07,Full,BLR,36,22973.0,131.0,0.5702346232533844,38 days 00:00:00.000000000,6 days 00:00:00.000000000,0.06224066799236697,0.6224066799236697,11000.0,6.66,6.65
2732,Belgium,2020-05-10,11433256,9119000,2020-03-12,2020-02-05,50.503887,4.469936,41.3,2020-03-17,Full,BEL,8,53081.0,8656.0,16.307153218665814,41 days 00:00:00.000000000,5 days 00:00:00.000000000,0.06156862629971225,0.6156862629971225,21458.0,9.07,8.29
2846,Belize,2020-05-10,383071,489000,2020-04-07,2020-03-24,17.189877,-88.49765,23.5,2020-04-16,Full,BLZ,2,18.0,2.0,11.11111111111111,23 days 00:00:00.000000000,9 days 00:00:00.000000000,0.07799051834499761,0.7799051834499761,104.0,7.12,6.95
2960,Benin,2020-05-10,11485048,295000,2020-04-07,2020-03-17,9.30769,2.315834,18.2,,,BEN,33,319.0,2.0,0.6269592476489029,,,0.061799297992446024,0.6179929799244603,104.0,7.47,6.77
3074,Bhutan,2020-05-10,754394,274000,2222-11-11,2020-03-07,27.514162,90.433601,26.3,2020-03-06,Full,BTN,16,7.0,0.0,0.0,-1 days +00:00:00.000000000,-74028 days +00:00:00.000000000,0.07373859472343465,0.7373859472343466,104.0,6.29,6.53
3188,Bolivia,2020-05-10,11353142,1142000,2020-03-30,2020-03-12,-16.290154,-63.588653,37.0,2020-03-12,Full,BOL,7,2556.0,118.0,4.61658841940532,0 days 00:00:00.000000000,-18 days +00:00:00.000000000,0.061682526390073364,0.6168252639007336,303.0,7.07,6.61
3302,Bosnia and Herzegovina,2020-05-10,3323929,1053000,2020-03-22,2020-03-06,43.915886,17.679076000000006,41.0,2020-03-11,Full,BIH,0,2117.0,107.0,5.054322153991498,5 days 00:00:00.000000000,-11 days +00:00:00.000000000,0.06632558959129606,0.6632558959129606,1691.0,8.04,7.37
3416,Botswana,2020-05-10,2254126,14000,2020-04-01,2020-03-31,-22.328474,24.684866,24.4,2020-04-02,Partial,BWA,47,23.0,1.0,4.3478260869565215,2 days 00:00:00.000000000,1 days 00:00:00.000000000,0.06860178468071126,0.6860178468071126,104.0,6.97,7.17
3530,Brazil,2020-05-10,209469333,6621000,2020-03-18,2020-02-27,-14.235004,-51.92528,31.3,2020-03-17,Partial,BRA,19,162699.0,11123.0,6.836550931474687,19 days 00:00:00.000000000,-1 days +00:00:00.000000000,0.052235561392515256,0.5223556139251525,54796.0,6.74,6.48
3644,Brunei,2020-05-10,428962,14000,2020-03-29,2020-03-10,4.535277,114.72766899999999,37.0,,,BRN,48,141.0,1.0,0.7092198581560284,,,0.07734826444890018,0.7734826444890017,104.0,4.76,5.69
3758,Bulgaria,2020-05-10,7025037,9273000,2020-03-12,2020-03-09,42.733883,25.48583,43.5,2020-03-13,Full,BGR,0,1965.0,91.0,4.631043256997455,4 days 00:00:00.000000000,1 days 00:00:00.000000000,0.06335869988442527,0.6335869988442527,2628.0,8.04,7.79
3872,Burkina Faso,2020-05-10,19751535,144000,2020-03-19,2020-03-11,12.238333,-1.561593,17.0,2020-03-21,Full,BFA,33,751.0,49.0,6.524633821571238,10 days 00:00:00.000000000,2 days 00:00:00.000000000,0.05965961212592358,0.5965961212592358,0.0,7.39,6.73
3986,Burma,2020-05-10,53071000,14000,2020-04-01,2020-03-28,21.9162,95.956,37.0,,,MMR,40,180.0,6.0,3.3333333333333335,,,0.056320492666131323,0.5632049266613132,104.0,5.26,5.44
4100,Burundi,2020-05-10,11175378,14000,2020-04-14,2020-04-01,-3.3730559999999996,29.918885999999997,17.6,,,BDI,44,15.0,1.0,6.666666666666667,,,0.061998274357390214,0.6199827435739019,104.0,4.95,5.56
4214,Cabo Verde,2020-05-10,543767,710000,2020-03-25,2020-03-21,16.5388,-23.0418,23.8,,,CPV,4,246.0,2.0,0.8130081300813008,,,0.07585544551354806,0.7585544551354806,104.0,7.74,7.45
4328,Cambodia,2020-05-10,16249798,6201000,2222-11-11,2020-01-28,12.565679,104.990963,24.0,2020-03-28,Partial,KHM,10,122.0,0.0,0.0,60 days 00:00:00.000000000,-74006 days +00:00:00.000000000,0.0603701587980588,0.603701587980588,104.0,6.82,7.13
4442,Cameroon,2020-05-10,25216237,14000,2020-03-26,2020-03-07,7.369722,12.354722,18.3,,,CMR,33,2579.0,114.0,4.420317952694843,,,0.05903776285873207,0.5903776285873207,1335.0,5.43,5.64
4556,Canada,2020-05-10,37057765,21134000,2020-03-10,2020-01-27,56.130366,-106.34677099999999,40.5,2020-03-16,Partial,CAN,30,70077.0,4990.0,7.120738616093726,49 days 00:00:00.000000000,6 days 00:00:00.000000000,0.06535905592834161,0.6535905592834161,42314.0,9.22,8.65
5924,Central African Republic,2020-05-10,4666377,14000,2222-11-11,2020-03-16,6.611111,20.939444,17.8,,,CAF,25,143.0,0.0,0.0,,,0.06483171900529304,0.6483171900529303,104.0,5.59,5.41
6038,Chad,2020-05-10,15477751,14000,2222-11-11,2020-03-20,15.454166,18.732207,16.1,,,TCD,25,322.0,31.0,9.627329192546584,,,0.06064482787324382,0.6064482787324383,104.0,5.49,5.46
6152,Chile,2020-05-10,18729160,5723000,2020-03-23,2020-03-04,-35.675146999999996,-71.542969,33.7,2020-03-26,Full,CHL,7,28866.0,312.0,1.080856370816878,22 days 00:00:00.000000000,3 days 00:00:00.000000000,0.05982118113866688,0.5982118113866688,10160.0,8.41,8.15
6266,China,2020-05-10,1392730000,62900000,2020-01-23,2020-01-22,35.86166,104.195397,37.0,2020-01-23,Full,CHN,29,84010.0,4637.0,5.519581002261636,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0557057232970822,0.557057232970822,6709.0,5.92,6.17
10028,Colombia,2020-05-10,49648685,3904000,2020-03-23,2020-03-07,4.570868,-74.297333,30.1,2020-03-25,Full,COL,19,11063.0,463.0,4.185121576425924,18 days 00:00:00.000000000,2 days 00:00:00.000000000,0.05648945165535744,0.5648945165535744,4716.0,7.18,6.93
10142,Congo (Brazzaville),2020-05-10,5244363,156000,2020-04-03,2020-03-16,-4.5216660000000015,21.964255,37.0,2020-03-28,Partial,COG,22,274.0,10.0,3.6496350364963503,12 days 00:00:00.000000000,-6 days +00:00:00.000000000,0.06505436427772117,0.6505436427772118,104.0,6.52,5.8
10256,Congo (Kinshasa),2020-05-10,84068091,14000,2020-03-22,2020-03-12,-1.142502,15.852951,37.0,2020-03-31,Full,COD,22,991.0,41.0,4.137235116044399,19 days 00:00:00.000000000,9 days 00:00:00.000000000,0.05476910869647565,0.5476910869647564,119.0,5.73,5.36
10370,Costa Rica,2020-05-10,4999441,3017000,2020-03-20,2020-03-07,9.748917,-83.753428,31.4,2020-03-15,Full,CRI,27,792.0,7.0,0.8838383838383839,8 days 00:00:00.000000000,-5 days +00:00:00.000000000,0.06492334261222532,0.6492334261222533,707.0,7.99,7.7
10484,Cote d'Ivoire,2020-05-10,25069229,1965000,2020-03-30,2020-03-12,7.54,-5.3053230000000005,37.0,,,CIV,22,1700.0,21.0,1.2352941176470589,,,0.05904368672891588,0.5904368672891587,597.0,7.2,6.59
10598,Croatia,2020-05-10,4087843,16645000,2020-03-20,2020-02-26,45.1,15.2,42.6,2020-03-22,Partial,HRV,36,2187.0,90.0,4.11522633744856,25 days 00:00:00.000000000,2 days 00:00:00.000000000,0.06558077501892626,0.6558077501892625,7171.0,8.45,7.86
10712,Cuba,2020-05-10,11338138,4684000,2020-03-19,2020-03-13,21.521757,-77.78116700000002,41.1,2020-03-23,Full,CUB,51,1766.0,77.0,4.360135900339751,10 days 00:00:00.000000000,4 days 00:00:00.000000000,0.0615956948352239,0.615956948352239,2048.0,6.97,6.835
10826,Cyprus,2020-05-10,1189265,3939000,2020-03-23,2020-03-10,35.126413,33.429859,34.9,2020-03-25,Full,CYP,11,898.0,16.0,1.78173719376392,15 days 00:00:00.000000000,2 days 00:00:00.000000000,0.07326298684978039,0.7326298684978041,1978.0,8.18,7.93
10940,Czechia,2020-05-10,10065000,14000,2020-03-23,2020-03-02,49.8175,15.473,41.4,2020-03-16,Full,CZE,0,8123.0,280.0,3.4470023390373017,14 days 00:00:00.000000000,-7 days +00:00:00.000000000,0.06183357263876892,0.6183357263876893,3912.0,8.92,8.34
10940,Czechia,2020-05-10,10065000,14000,2020-03-23,2020-03-02,49.8175,15.473,41.4,2020-03-16,Full,CZE,0,8123.0,280.0,3.4470023390373017,14 days 00:00:00.000000000,-7 days +00:00:00.000000000,0.06183357263876892,0.6183357263876893,9431.0,8.92,8.34
11054,Denmark,2020-05-10,5793636,12749000,2020-03-15,2020-02-28,56.26392,9.501785,41.6,2020-03-11,Full,DNK,36,10627.0,529.0,4.977886515479439,12 days 00:00:00.000000000,-4 days +00:00:00.000000000,0.09253056277887674,0.9253056277887672,16276.0,9.24,8.56
11396,Diamond Princess,2020-05-10,712,14000,2020-02-21,2020-02-08,-100.0,-100.0,37.0,,,NAN,15,712.0,13.0,1.8258426966292134,,,0.12166447572160598,1.2166447572160597,104.0,6.97,6.835
11510,Djibouti,2020-05-10,958920,14000,2020-04-11,2020-03-19,11.825138,42.590275,23.7,2020-03-23,Full,DJI,4,1210.0,3.0,0.24793388429752067,4 days 00:00:00.000000000,-19 days +00:00:00.000000000,0.07293865609576251,0.7293865609576251,104.0,6.97,6.835
11624,Dominica,2020-05-10,71625,63000,2222-11-11,2020-03-23,15.414999,-61.370976,37.0,2020-03-19,Partial,DMA,9,16.0,0.0,0.0,-4 days +00:00:00.000000000,-74015 days +00:00:00.000000000,0.08948892244376917,0.8948892244376917,104.0,6.97,6.835
11738,Dominican Republic,2020-05-10,10627165,6569000,2020-03-18,2020-03-02,18.735692999999998,-70.162651,26.1,2020-03-17,Full,DOM,19,10347.0,388.0,3.7498791920363392,15 days 00:00:00.000000000,-1 days +00:00:00.000000000,0.062013303195770524,0.6201330319577052,104.0,6.98,6.95
11852,Ecuador,2020-05-10,17084357,2535000,2020-03-15,2020-03-02,-1.8312389999999998,-78.183406,26.6,2020-03-24,Partial,ECU,19,29559.0,2127.0,7.195777935654116,22 days 00:00:00.000000000,9 days 00:00:00.000000000,0.060162524785032125,0.6016252478503213,4947.0,7.36,6.82
11966,Egypt,2020-05-10,98423595,11196000,2020-03-09,2020-02-15,26.820553000000004,30.802497999999996,24.7,2020-03-24,Full,EGY,3,9400.0,525.0,5.585106382978723,38 days 00:00:00.000000000,15 days 00:00:00.000000000,0.05455670764558922,0.5455670764558922,2916.0,3.95,4.5
12080,El Salvador,2020-05-10,6420744,1677300,2020-04-01,2020-03-20,13.794185,-88.89653,25.8,2020-03-12,Full,SLV,2,889.0,17.0,1.9122609673790776,-8 days +00:00:00.000000000,-20 days +00:00:00.000000000,0.0637328782351561,0.637328782351561,1993.0,6.62,6.89
12194,Equatorial Guinea,2020-05-10,1308974,14000,2020-04-23,2020-03-16,1.6508009999999995,10.267895,22.2,2020-03-22,Full,GNQ,4,439.0,4.0,0.9111617312072893,6 days 00:00:00.000000000,-32 days +00:00:00.000000000,0.07134518993065303,0.7134518993065302,104.0,6.97,6.835
12308,Eritrea,2020-05-10,3214000,14000,2222-11-11,2020-03-22,15.179383999999999,39.78233400000001,18.9,2020-04-02,Partial,ERI,25,39.0,0.0,0.0,11 days 00:00:00.000000000,-74001 days +00:00:00.000000000,0.06454535738696096,0.6454535738696097,104.0,6.97,6.835
12422,Estonia,2020-05-10,1321977,3234000,2020-03-26,2020-02-28,58.595271999999994,25.013607,41.6,2020-03-13,Full,EST,0,1739.0,60.0,3.4502587694077054,14 days 00:00:00.000000000,-13 days +00:00:00.000000000,0.07097199038133352,0.7097199038133354,2506.0,9.02,8.46
12536,Eswatini,2020-05-10,1136191,782000,2020-04-17,2020-03-15,-26.5179414,31.4659,37.0,2020-03-27,Partial,SWZ,22,172.0,2.0,1.1627906976744187,12 days 00:00:00.000000000,-21 days +00:00:00.000000000,0.07173561193532613,0.7173561193532613,104.0,6.29,6.4
12650,Ethiopia,2020-05-10,109224559,849000,2020-04-06,2020-03-14,9.145,40.489672999999996,18.6,2020-03-16,Full,ETH,33,239.0,5.0,2.092050209205021,2 days 00:00:00.000000000,-21 days +00:00:00.000000000,0.054527007085195284,0.5452700708519528,104.0,4.77,5.25
12764,Fiji,2020-05-10,883483,870000,2222-11-11,2020-03-20,-16.578193,179.414413,27.6,2020-03-20,Partial,FJI,13,18.0,0.0,0.0,0 days 00:00:00.000000000,-74014 days +00:00:00.000000000,0.07313793339800312,0.7313793339800313,104.0,7.61,7.17
12878,Finland,2020-05-10,5515525,3224000,2020-03-22,2020-01-30,61.92411,25.748151,42.5,2020-03-27,Full,FIN,8,5962.0,267.0,4.478362965447836,57 days 00:00:00.000000000,5 days 00:00:00.000000000,0.06443809696539639,0.6443809696539639,7850.0,9.27,8.53
12992,France,2020-05-10,66977107,89322000,2020-02-16,2020-01-25,46.227638,2.213749,41.2,2020-03-16,Full,FRA,5,177094.0,26383.0,14.897737924492077,51 days 00:00:00.000000000,29 days 00:00:00.000000000,0.08033921704206183,0.8033921704206181,68933.0,8.69,8.02
14246,Gabon,2020-05-10,2119275,14000,2020-03-21,2020-03-15,-0.803689,11.609444,22.6,2020-04-13,Partial,GAB,4,661.0,8.0,1.2102874432677762,29 days 00:00:00.000000000,23 days 00:00:00.000000000,0.06942244845684871,0.6942244845684871,104.0,6.1,5.99
14360,Gambia,2020-05-10,2280000,14000,2020-03-24,2020-03-18,13.443182,-15.310139000000001,17.0,,,GMB,33,20.0,1.0,5.0,,,0.06921332380917111,0.6921332380917111,104.0,4.64,5.94
14474,Georgia,2020-05-10,3726549,4757000,2020-04-05,2020-02-27,42.315407,43.356891999999995,38.0,2020-03-22,Partial,GEO,42,635.0,10.0,1.5748031496062993,24 days 00:00:00.000000000,-14 days +00:00:00.000000000,0.06609672773166762,0.6609672773166763,104.0,7.53,7.74
14588,Germany,2020-05-10,82905782,38881000,2020-03-10,2020-01-28,51.165690999999995,10.451526,45.9,2020-03-20,Full,DEU,26,171879.0,7569.0,4.403679332553715,52 days 00:00:00.000000000,10 days 00:00:00.000000000,0.054886453086856815,0.5488645308685681,79063.0,9.25,8.53
14702,Ghana,2020-05-10,29767108,14000,2020-03-22,2020-03-15,7.9465270000000015,-1.0231940000000002,20.4,2020-03-15,Full,GHA,33,4263.0,22.0,0.5160684963640628,0 days 00:00:00.000000000,-7 days +00:00:00.000000000,0.05835713344696065,0.5835713344696065,4291.0,7.3,6.94
14816,Greece,2020-05-10,10731726,30123000,2020-03-12,2020-02-27,39.074208,21.824312,43.3,2020-03-18,Full,GRC,49,2716.0,151.0,5.559646539027982,20 days 00:00:00.000000000,6 days 00:00:00.000000000,0.061726815909520436,0.6172681590952043,4917.0,8.07,7.33
14930,Grenada,2020-05-10,111454,185000,2222-11-11,2020-03-23,12.262775999999999,-61.604170999999994,27.2,2020-03-25,Full,GRD,9,21.0,0.0,0.0,2 days 00:00:00.000000000,-74009 days +00:00:00.000000000,0.08661253177374374,0.8661253177374375,160.0,6.97,6.835
15044,Guatemala,2020-05-10,17247807,1781000,2020-03-17,2020-03-15,15.783470999999999,-90.23075899999999,21.3,,,GTM,2,1052.0,26.0,2.4714828897338403,,,0.060244420636417585,0.6024442063641761,104.0,6.56,7.07
15158,Guinea,2020-05-10,12414318,14000,2020-04-16,2020-03-14,9.945587,-9.696645,18.4,,,GIN,33,2146.0,11.0,0.5125815470643057,,,0.061063575797681874,0.6106357579768187,193.0,5.37,5.61
15272,Guinea-Bissau,2020-05-10,1874309,14000,2020-04-27,2020-03-26,11.803749,-15.180413,18.9,,,GNB,44,726.0,3.0,0.4132231404958678,,,0.07016396168281491,0.7016396168281491,104.0,6.9,6.07
15386,Guyana,2020-05-10,779004,287000,2020-03-13,2020-03-13,4.860416000000002,-58.93018000000001,24.6,,,GUY,2,104.0,10.0,9.615384615384615,,,0.07394432683822487,0.7394432683822486,104.0,7.16,6.74
15500,Haiti,2020-05-10,11123176,447000,2020-04-06,2020-03-21,18.971187,-72.28521500000002,23.0,,,HTI,2,182.0,15.0,8.241758241758241,,,0.061650476521126985,0.61650476521127,104.0,6.93,6.71
15614,Holy See,2020-05-10,825,14000,2222-11-11,2020-03-07,41.9029,12.4534,37.0,2020-03-09,Full,VAT,38,12.0,0.0,0.0,2 days 00:00:00.000000000,-74025 days +00:00:00.000000000,0.16356754744281482,1.6356754744281483,104.0,6.97,6.835
15728,Honduras,2020-05-10,9587522,14000,2020-03-27,2020-03-12,15.199998999999998,-86.241905,23.0,2020-03-20,Partial,HND,2,1972.0,108.0,5.476673427991886,8 days 00:00:00.000000000,-7 days +00:00:00.000000000,0.06263882207364799,0.6263882207364798,104.0,6.47,6.81
15842,Hungary,2020-05-10,9775564,17552000,2020-03-16,2020-03-05,47.162494,19.503304,41.7,2020-03-16,Full,HUN,36,3263.0,413.0,12.657064051486362,11 days 00:00:00.000000000,0 days 00:00:00.000000000,0.062110886034631066,0.6211088603463106,7293.0,8.04,7.65
15956,Iceland,2020-05-10,352721,2343800,2020-03-17,2020-02-29,64.96305100000001,-19.020835,36.0,2020-03-16,Full,ISL,42,1801.0,10.0,0.555247084952804,16 days 00:00:00.000000000,-1 days +00:00:00.000000000,0.0786176064751496,0.786176064751496,2486.0,9.08,8.41
16070,India,2020-05-10,1352617328,17423000,2020-03-12,2020-01-31,20.593684,78.96288,26.7,2020-03-24,Full,IND,6,67161.0,2212.0,3.2935781182531527,53 days 00:00:00.000000000,12 days 00:00:00.000000000,0.04766003824343209,0.4766003824343209,85824.0,6.37,6.64
16184,Indonesia,2020-05-10,267663435,15810000,2020-03-12,2020-03-03,-0.789275,113.921327,28.0,2020-04-10,Partial,IDN,41,14032.0,973.0,6.934150513112884,38 days 00:00:00.000000000,29 days 00:00:00.000000000,0.05162303072325351,0.5162303072325349,19303.0,6.38,6.83
16298,Iran,2020-05-10,81800269,7295000,2020-02-20,2020-02-20,32.427908,53.68804599999999,29.5,2020-03-15,Full,IRN,17,107603.0,6640.0,6.170831668262037,24 days 00:00:00.000000000,24 days 00:00:00.000000000,0.05497638008242922,0.5497638008242922,11862.0,4.48,5.1
16412,Iraq,2020-05-10,38433600,14000,2020-03-05,2020-02-25,33.223191,43.679291,19.4,2020-03-22,Full,IRQ,31,2767.0,109.0,3.939284423563426,26 days 00:00:00.000000000,17 days 00:00:00.000000000,0.057306500339179535,0.5730650033917954,104.0,3.47,4.34
16526,Ireland,2020-05-10,4867309,10926000,2020-03-12,2020-03-01,53.41291,-8.243889999999999,36.9,2020-03-12,Full,IRL,42,22996.0,1458.0,6.340233084014611,11 days 00:00:00.000000000,0 days 00:00:00.000000000,0.06382286740935376,0.6382286740935377,22692.0,8.9,8.52
16640,Israel,2020-05-10,8882800,4121000,2020-03-22,2020-02-22,31.046051000000002,34.851612,30.2,2020-03-12,Full,ISR,17,16477.0,252.0,1.5294046246282698,19 days 00:00:00.000000000,-10 days +00:00:00.000000000,0.06266137189484232,0.6266137189484233,15347.0,7.7,7.61
16754,Italy,2020-05-10,60421760,61567200,2020-02-22,2020-02-01,41.87194,12.56738,45.9,2020-03-11,Full,ITA,5,219070.0,30560.0,13.94987903409869,39 days 00:00:00.000000000,18 days 00:00:00.000000000,0.05580081071280109,0.5580081071280109,74208.0,8.67,8.04
16868,Jamaica,2020-05-10,2934855,2473000,2020-03-20,2020-03-12,18.109581,-77.297508,29.4,2020-03-12,Full,JAM,27,502.0,9.0,1.792828685258964,0 days 00:00:00.000000000,-8 days +00:00:00.000000000,0.06748851718975944,0.6748851718975944,338.0,7.23,7.2
16982,Japan,2020-05-10,126529100,31192000,2020-02-14,2020-01-23,36.204824,138.252924,46.3,2020-02-27,Full,JPN,46,15777.0,624.0,3.9551245483932305,35 days 00:00:00.000000000,13 days 00:00:00.000000000,0.05359234113919523,0.5359234113919523,40361.0,8.7,8.28
17096,Jordan,2020-05-10,9956011,4150000,2020-03-28,2020-03-04,30.585164000000002,36.238414,22.1,2020-03-21,Full,JOR,31,540.0,9.0,1.6666666666666667,17 days 00:00:00.000000000,-7 days +00:00:00.000000000,0.062227230793300885,0.6222723079330088,104.0,6.23,6.84
17210,Kazakhstan,2020-05-10,18272430,8789000,2020-03-26,2020-03-14,48.019573,66.923684,29.3,2020-03-19,Partial,KAZ,50,5090.0,31.0,0.6090373280943026,5 days 00:00:00.000000000,-7 days +00:00:00.000000000,0.059908664224680164,0.5990866422468016,20837.0,6.69,6.9
17324,Kenya,2020-05-10,51393010,14000,2020-03-27,2020-03-14,-0.023559,37.906193,19.0,2020-03-15,Full,KEN,23,672.0,32.0,4.761904761904762,1 days 00:00:00.000000000,-12 days +00:00:00.000000000,0.056589943012875975,0.5658994301287598,1420.0,6.65,6.85
17438,"Korea, South",2020-05-10,51606633,15347000,2020-02-21,2020-01-23,35.9078,127.7669,37.0,,,KOR,21,10909.0,256.0,2.3466862223851868,,,0.05866629090429941,0.5866629090429941,18199.0,8.81,8.2
